distance	O_AE_s1	O_pp_s1	O_AE_s2	O_pp_s2	O_AE_p1	O_pp_p1	O_AE_p2	O_pp_p2
3.66E-04	3.72E-03	-7.24E-04	3.05E-03	-6.47E-04	2.46E-06	3.10E-07	2.89E-06	3.44E-07
3.68E-04	3.75E-03	-7.30E-04	3.07E-03	-6.52E-04	2.50E-06	3.14E-07	2.93E-06	3.49E-07
3.71E-04	3.78E-03	-7.36E-04	3.10E-03	-6.57E-04	2.53E-06	3.19E-07	2.98E-06	3.54E-07
3.74E-04	3.81E-03	-7.41E-04	3.12E-03	-6.62E-04	2.57E-06	3.24E-07	3.02E-06	3.60E-07
3.77E-04	3.84E-03	-7.47E-04	3.14E-03	-6.67E-04	2.60E-06	3.29E-07	3.06E-06	3.65E-07
3.80E-04	3.87E-03	-7.53E-04	3.17E-03	-6.72E-04	2.64E-06	3.34E-07	3.10E-06	3.71E-07
3.83E-04	3.90E-03	-7.58E-04	3.19E-03	-6.78E-04	2.68E-06	3.39E-07	3.15E-06	3.77E-07
3.85E-04	3.93E-03	-7.64E-04	3.21E-03	-6.83E-04	2.72E-06	3.44E-07	3.19E-06	3.82E-07
3.88E-04	3.95E-03	-7.70E-04	3.24E-03	-6.88E-04	2.76E-06	3.50E-07	3.24E-06	3.88E-07
3.91E-04	3.98E-03	-7.76E-04	3.26E-03	-6.93E-04	2.79E-06	3.55E-07	3.28E-06	3.94E-07
3.94E-04	4.01E-03	-7.81E-04	3.29E-03	-6.98E-04	2.83E-06	3.60E-07	3.33E-06	4.00E-07
3.97E-04	4.04E-03	-7.87E-04	3.31E-03	-7.03E-04	2.87E-06	3.66E-07	3.38E-06	4.06E-07
4.00E-04	4.07E-03	-7.93E-04	3.34E-03	-7.09E-04	2.91E-06	3.71E-07	3.42E-06	4.12E-07
4.03E-04	4.10E-03	-7.99E-04	3.36E-03	-7.14E-04	2.95E-06	3.77E-07	3.47E-06	4.18E-07
4.06E-04	4.13E-03	-8.05E-04	3.38E-03	-7.19E-04	2.99E-06	3.82E-07	3.52E-06	4.24E-07
4.09E-04	4.16E-03	-8.11E-04	3.41E-03	-7.24E-04	3.04E-06	3.88E-07	3.57E-06	4.31E-07
4.12E-04	4.19E-03	-8.17E-04	3.43E-03	-7.30E-04	3.08E-06	3.94E-07	3.62E-06	4.37E-07
4.15E-04	4.22E-03	-8.23E-04	3.46E-03	-7.35E-04	3.12E-06	3.99E-07	3.67E-06	4.43E-07
4.18E-04	4.26E-03	-8.29E-04	3.48E-03	-7.40E-04	3.16E-06	4.05E-07	3.72E-06	4.50E-07
4.21E-04	4.29E-03	-8.35E-04	3.51E-03	-7.46E-04	3.21E-06	4.11E-07	3.77E-06	4.56E-07
4.24E-04	4.32E-03	-8.41E-04	3.54E-03	-7.51E-04	3.25E-06	4.17E-07	3.82E-06	4.63E-07
4.27E-04	4.35E-03	-8.47E-04	3.56E-03	-7.57E-04	3.29E-06	4.23E-07	3.87E-06	4.70E-07
